0.9342 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
452.8699 	DATA 	Keypress: t
454.3719 	DATA 	Keypress: t
455.8726 	DATA 	Keypress: t
457.3717 	DATA 	Keypress: t
458.8700 	DATA 	Keypress: t
460.3725 	DATA 	Keypress: t
461.8712 	DATA 	Keypress: t
463.3736 	DATA 	Keypress: t
464.8688 	DATA 	Keypress: t
466.3707 	DATA 	Keypress: t
467.8697 	DATA 	Keypress: t
469.3705 	DATA 	Keypress: t
470.8700 	DATA 	Keypress: t
472.3702 	DATA 	Keypress: t
473.8711 	DATA 	Keypress: t
475.3690 	DATA 	Keypress: t
476.8719 	DATA 	Keypress: t
478.3720 	DATA 	Keypress: t
479.8690 	DATA 	Keypress: t
481.3698 	DATA 	Keypress: t
482.8696 	DATA 	Keypress: t
484.3570 	DATA 	Keypress: t
485.8742 	DATA 	Keypress: t
487.3707 	DATA 	Keypress: t
488.8702 	DATA 	Keypress: t
490.3717 	DATA 	Keypress: t
491.8724 	DATA 	Keypress: t
493.3708 	DATA 	Keypress: t
494.8722 	DATA 	Keypress: t
496.3710 	DATA 	Keypress: t
497.8690 	DATA 	Keypress: t
499.3723 	DATA 	Keypress: t
500.8684 	DATA 	Keypress: t
502.3567 	DATA 	Keypress: t
503.8565 	DATA 	Keypress: t
505.3726 	DATA 	Keypress: t
506.8709 	DATA 	Keypress: t
508.3694 	DATA 	Keypress: t
509.8558 	DATA 	Keypress: t
511.3698 	DATA 	Keypress: t
512.8714 	DATA 	Keypress: t
514.3692 	DATA 	Keypress: t
515.8692 	DATA 	Keypress: t
517.3683 	DATA 	Keypress: t
518.8703 	DATA 	Keypress: t
520.3703 	DATA 	Keypress: t
521.8711 	DATA 	Keypress: t
523.3693 	DATA 	Keypress: t
524.8564 	DATA 	Keypress: t
526.3708 	DATA 	Keypress: t
527.8562 	DATA 	Keypress: t
529.3559 	DATA 	Keypress: t
530.8686 	DATA 	Keypress: t
532.3696 	DATA 	Keypress: t
533.8562 	DATA 	Keypress: t
535.3704 	DATA 	Keypress: t
536.8562 	DATA 	Keypress: t
538.3688 	DATA 	Keypress: t
539.8692 	DATA 	Keypress: t
541.3703 	DATA 	Keypress: t
542.8702 	DATA 	Keypress: t
544.3693 	DATA 	Keypress: t
545.8689 	DATA 	Keypress: t
547.3679 	DATA 	Keypress: t
548.8559 	DATA 	Keypress: t
550.3701 	DATA 	Keypress: t
551.8699 	DATA 	Keypress: t
553.3705 	DATA 	Keypress: t
