ParticipantNo: 12218
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_02
!!1_dsp2_02
4.1:  173.3644,158.6839,186.8707,box 8,7
4.12:  173.3312,158.4348,187.5952,box 8,7
4.13:  173.2951,158.1878,188.3197,box 8,7
4.15:  173.2562,157.9438,189.0442,box 8,7
4.17:  173.2141,157.6989,189.7687,box 8,7
4.18:  173.1677,157.4489,190.4932,box 8,7
4.2:  173.1189,157.2025,191.224,box 8,7
4.22:  173.0672,156.9588,191.9676,box 8,7
4.23:  173.0094,156.7033,192.7554,box 8,7
4.25:  172.9537,156.472,193.5433,box 8,7
4.27:  172.8911,156.2271,194.3312,box 8,7
4.28:  172.8262,155.987,195.1191,box 8,7
4.3:  172.7583,155.7487,195.907,box 8,7
4.32:  172.6852,155.5049,196.6948,box 8,7
4.33:  172.6119,155.2722,197.4827,box 8,7
4.35:  172.5336,155.035,198.2706,box 8,7
4.37:  172.4503,154.7938,199.0585,box 8,7
4.38:  172.3659,154.5602,199.8463,box 8,7
4.4:  172.2791,154.3297,200.6342,box 8,7
4.42:  172.1865,154.0937,201.4221,box 8,7
4.43:  172.0915,153.861,202.21,box 8,7
4.45:  171.9948,153.633,202.9979,box 8,7
4.47:  171.892,153.3998,203.7858,box 8,7
4.48:  171.7896,153.1759,204.5736,box 8,7
4.5:  171.6833,152.9518,205.3615,box 8,7
4.52:  171.5716,152.7242,206.1494,box 8,7
4.53:  171.4605,152.5055,206.9373,box 8,7
4.55:  171.3434,152.2828,207.7251,box 8,7
4.57:  171.2236,152.0621,208.513,box 8,7
4.58:  171.1005,151.8429,209.3009,box 8,7
4.6:  170.9773,151.6302,210.0888,box 8,7
4.62:  170.8481,151.4141,210.8767,box 8,7
4.63:  170.7155,151.1991,211.6645,box 8,7
4.65:  170.5833,150.991,212.427,box 8,7
4.67:  170.447,150.7823,213.1516,box 8,7
4.68:  170.3072,150.5736,213.819,box 8,7
4.7:  170.1861,150.3536,214.4104,box 8,7
4.72:  170.0661,150.1304,214.9765,box 8,7
4.73:  169.9469,149.9088,215.5362,box 8,7
