ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
3.07:  41.15117,90.16945,181.5,box 1,4
3.08:  41.15117,90.16945,183,box 1,4
3.1:  41.15117,90.16945,184.5,box 1,4
3.12:  41.15117,90.16945,186,box 1,4
3.13:  41.15117,90.16945,187.5,box 1,4
3.15:  41.15117,90.16945,189,box 1,4
3.16:  41.15117,90.16945,190.5,box 1,4
3.18:  41.15117,90.16945,192,box 1,4
3.2:  41.15117,90.16945,193.5,box 1,4
3.22:  41.15117,90.16945,195,box 1,4
3.23:  41.15117,90.16945,196.5,box 1,4
3.25:  41.15117,90.16945,198,box 1,4
3.27:  41.15117,90.16945,199.5,box 1,4
3.28:  41.15117,90.16945,201,box 1,4
3.3:  41.15117,90.16945,202.5,box 1,4
3.32:  41.15117,90.16945,204,box 1,4
3.33:  41.15117,90.16945,205.5,box 1,4
3.35:  41.15117,90.16945,207,box 1,4
3.37:  41.15117,90.16945,208.5,box 1,4
3.38:  41.15117,90.16945,210,box 1,4
3.4:  41.15117,90.16945,211.5,box 1,4
3.42:  41.15117,90.16945,213,box 1,4
3.43:  41.15117,90.16945,214.5,box 1,4
3.45:  41.15117,90.16945,216,box 1,4
3.47:  41.15117,90.16945,217.5,box 1,4
3.48:  41.15117,90.16945,219,box 1,4
3.5:  41.15117,90.16945,220.5,box 1,4
3.52:  41.15117,90.16945,222,box 1,4
3.53:  41.15117,90.16945,223.5,box 1,4
3.55:  41.15117,90.16945,225,box 1,4
3.57:  41.15117,90.16945,226.5,box 1,4
3.58:  41.15117,90.16945,228,box 1,4
3.6:  41.15117,90.16945,229.5,box 1,4
3.62:  41.15117,90.16945,231,box 1,4
3.63:  41.15117,90.16945,232.5,box 1,4
3.65:  41.15117,90.16945,234,box 1,4
3.67:  41.15117,90.16945,235.5,box 1,4
3.68:  41.15117,90.16945,237,box 1,4
3.7:  41.15117,90.16945,238.5,box 1,4
3.72:  41.15117,90.16945,240,box 1,4
3.73:  41.15117,90.16945,241.5,box 1,4
