ParticipantNo: 21010
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_11
!!1_dsp2_11
5.17:  72.01292,57.13354,177.0569,box 3,2
5.18:  72.0253,56.89265,177.0569,box 3,2
5.2:  72.03804,56.64486,177.0569,box 3,2
5.22:  72.05082,56.3963,177.0569,box 3,2
5.23:  72.06379,56.1441,177.0569,box 3,2
5.25:  72.07663,55.89421,177.0569,box 3,2
5.27:  72.08941,55.64577,177.0569,box 3,2
5.28:  72.10216,55.39777,177.0569,box 3,2
5.3:  72.11505,55.14701,177.0569,box 3,2
5.32:  72.12794,54.89637,177.0569,box 3,2
5.33:  72.14057,54.65058,177.0569,box 3,2
5.35:  72.15297,54.40949,177.0569,box 3,2
5.37:  72.16444,54.18624,177.0569,box 3,2
5.38:  72.17535,53.97416,177.0569,box 3,2
5.4:  72.18568,53.7733,177.0569,box 3,2
5.42:  72.19525,53.58698,177.0569,box 3,2
5.43:  72.20425,53.41195,177.0569,box 3,2
5.45:  72.21252,53.25103,177.0569,box 3,2
5.47:  72.22025,53.10078,177.0569,box 3,2
5.48:  72.22729,52.96383,177.0569,box 3,2
5.5:  72.23373,52.8386,177.0569,box 3,2
5.52:  72.23949,52.72649,177.0569,box 3,2
5.53:  72.24458,52.62745,177.0569,box 3,2
5.55:  72.24903,52.54096,177.0569,box 3,2
5.57:  72.25291,52.46562,177.0569,box 3,2
5.58:  72.25614,52.40275,177.0569,box 3,2
5.6:  72.2587,52.35302,177.0569,box 3,2
5.62:  72.2606,52.31583,177.0569,box 3,2
5.63:  72.26188,52.29106,177.0569,box 3,2
5.65:  72.26251,52.27872,177.0569,box 3,2
5.67:  72.26251,52.27872,177.0569,box 3,2
5.68:  72.26251,52.27872,177.0569,box 3,2
5.7:  72.26251,52.27872,177.0569,box 3,2
5.72:  72.26251,52.27872,177.0569,box 3,2
5.73:  72.26251,52.27872,177.0569,box 3,2
5.75:  72.26251,52.27872,177.0569,box 3,2
5.77:  72.26251,52.27872,177.0569,box 3,2
5.78:  72.26251,52.27872,177.0569,box 3,2
5.8:  72.26251,52.27872,177.0569,box 3,2
5.82:  72.26251,52.27872,177.0569,box 3,2
5.83:  72.26251,52.27872,177.0569,box 3,2
5.85:  72.26251,52.27872,178.5569,box 3,2
