ParticipantNo: 11014
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_05
!!1_dsp1_05
2.88:  198.5682,16.42111,248.7,box 10,1
2.9:  198.3329,16.33171,249.2,box 10,1
2.92:  198.0991,16.24522,249.7,box 10,1
2.93:  197.8624,16.16049,250.3,box 10,1
2.95:  197.6287,16.07865,250.7,box 10,1
2.97:  197.3931,15.9989,251.3,box 10,1
2.99:  197.1237,15.91447,252.6,box 10,1
3:  196.9123,15.85104,253.3,box 10,1
3.02:  196.6759,15.78326,254,box 10,1
3.03:  196.4313,15.71451,254.3,box 10,1
3.05:  196.1728,15.64476,254.9,box 10,1
3.07:  195.9164,15.57749,255.3,box 10,1
3.08:  195.7064,15.52319,255.5,box 10,1
3.1:  195.464,15.46049,255.5,box 10,1
3.12:  195.1944,15.39077,255.5,box 10,1
3.13:  194.9822,15.33589,255.5,box 10,1
3.15:  194.7395,15.27313,255.5,box 10,1
3.17:  194.4638,15.20183,255.5,box 10,1
3.18:  194.2546,15.14773,255.5,box 10,1
3.2:  193.9821,15.07725,255.5,box 10,1
3.22:  193.7737,15.02335,255.5,box 10,1
3.24:  193.5009,14.9528,255.5,box 10,1
3.25:  193.2854,14.89709,255.5,box 10,1
3.27:  193.0127,14.82503,255.2,box 10,1
3.28:  192.8033,14.76734,254.6,box 10,1
3.3:  192.5615,14.69755,253.9001,box 10,1
3.32:  192.3256,14.62362,252.6001,box 10,1
3.33:  192.0888,14.54623,251.9001,box 10,1
3.35:  191.8526,14.46581,251.2,box 10,1
3.37:  191.5883,14.37275,250.6,box 10,1
3.38:  191.3807,14.29719,250,box 10,1
3.4:  191.1439,14.20912,249.6001,box 10,1
3.42:  190.9103,14.12177,249.5,box 10,1
3.43:  190.678,14.03494,249.5,box 10,1
3.45:  190.4411,13.94637,249.5,box 10,1
3.47:  190.1808,13.84902,249.5,box 10,1
3.48:  189.9738,13.77163,249.5,box 10,1
3.5:  189.7129,13.67409,249.5,box 10,1
3.52:  189.506,13.59674,249.5,box 10,1
3.53:  189.2699,13.50845,249.5,box 10,1
3.55:  189.0104,13.41143,249.5,box 10,1
3.57:  188.7748,13.32335,249.5,box 10,1
3.58:  188.5731,13.24794,249.5,box 10,1
3.6:  188.3081,13.14887,249.5,box 10,1
3.62:  188.0888,13.06686,249.5,box 10,1
3.64:  187.843,12.97495,249.5,box 10,1
3.65:  187.633,12.89644,249.5,box 10,1
3.67:  187.3988,12.80891,249.5,box 10,1
3.68:  187.1673,12.72232,249.5,box 10,1
3.7:  186.93,12.63362,249.5,box 10,1
3.72:  186.6963,12.54622,249.5,box 10,1
3.73:  186.461,12.45825,249.5,box 10,1
3.75:  186.2284,12.37131,249.5,box 10,1
3.77:  185.9956,12.28425,249.5,box 10,1
3.79:  185.7316,12.18555,249.5,box 10,1
3.8:  185.526,12.10869,249.5,box 10,1
3.82:  185.2546,12.00719,249.5,box 10,2
3.84:  185.0339,11.92469,249.5,box 10,2
3.85:  184.8221,11.8455,249.5,box 10,2
3.87:  184.5637,11.74889,249.5,box 10,2
3.89:  184.3332,11.66272,249.5,box 10,2
3.9:  184.0993,11.57526,249.5,box 10,2
3.92:  183.8791,11.49294,249.5,box 10,2
3.93:  183.6517,11.40792,249.5,box 10,2
3.95:  183.4181,11.32057,249.5,box 10,2
3.97:  183.1843,11.23316,249.5,box 10,2
3.99:  182.9207,11.13458,249.5,box 10,2
4:  182.699,11.05169,249.5,box 10,2
4.02:  182.4809,10.97017,249.5,box 10,2
4.03:  182.2462,10.8824,249.5,box 10,2
4.05:  182.0127,10.79513,249.5,box 10,2
4.07:  181.7662,10.70297,249.5,box 10,2
4.08:  181.5482,10.62145,249.5,box 10,2
4.1:  181.2779,10.52199,249.8,box 10,2
4.12:  181.0572,10.44255,250.2,box 10,2
4.13:  180.8389,10.36609,250.7,box 10,2
4.15:  180.5995,10.28737,251.8,box 10,2
4.17:  180.3651,10.21526,252.9001,box 10,2
4.18:  180.124,10.14749,254.3,box 10,2
4.2:  179.8792,10.08464,255.6001,box 10,2
4.22:  179.6365,10.02905,257.1001,box 10,2
4.23:  179.3909,9.979097,258.5001,box 10,2
4.25:  179.1451,9.933984,259.6001,box 10,2
4.27:  178.8993,9.892405,260.4001,box 10,2
4.29:  178.6196,9.846101,260.6001,box 10,2
4.3:  178.4065,9.811198,260.7,box 10,2
4.32:  178.1611,9.771009,260.7,box 10,2
4.33:  177.9097,9.730295,260.8,box 10,2
4.35:  177.6302,9.68603,261.0001,box 10,2
4.37:  177.4034,9.650511,261.1,box 10,2
4.39:  177.1377,9.609857,261.3,box 10,2
4.4:  176.9245,9.577611,261.4001,box 10,2
4.42:  176.673,9.540028,261.5001,box 10,2
4.44:  176.399,9.499084,261.5001,box 10,2
4.45:  176.1766,9.466236,261.6,box 10,2
4.47:  175.9032,9.425864,261.6,box 10,2
4.48:  175.688,9.394085,261.6,box 10,2
4.5:  175.4099,9.353023,261.6,box 10,2
4.52:  175.191,9.320691,261.6,box 10,2
4.54:  174.9135,9.279726,261.6,box 10,2
4.55:  174.6757,9.244604,261.6,box 10,2
4.57:  174.4249,9.207571,261.6,box 10,2
4.58:  174.2044,9.175016,261.6,box 10,2
4.6:  173.9374,9.135582,261.6,box 10,2
4.62:  173.7109,9.102545,261.7,box 10,2
4.63:  173.458,9.065644,261.7,box 10,2
4.65:  173.2108,9.03002,261.8,box 10,2
4.67:  172.9335,8.990566,261.9001,box 10,2
4.69:  172.6904,8.955957,261.9001,box 10,2
4.7:  172.4498,8.921719,261.9001,box 10,2
4.72:  172.2234,8.889501,261.9001,box 10,2
4.73:  171.9756,8.854225,261.9001,box 10,2
4.75:  171.6984,8.814784,261.9001,box 10,2
4.77:  171.4821,8.783993,261.9001,box 10,2
4.79:  171.2024,8.744195,261.9001,box 10,2
4.8:  170.9755,8.711899,261.9001,box 10,2
4.82:  170.7363,8.677849,261.9001,box 10,2
4.83:  170.4916,8.643023,261.9001,box 10,2
4.85:  170.2439,8.607776,261.9001,box 10,2
4.87:  169.9993,8.572967,261.9001,box 10,2
4.88:  169.7492,8.537374,261.9001,box 10,2
4.9:  169.5021,8.502201,261.9001,box 10,2
4.92:  169.2228,8.462447,261.9001,box 10,2
4.94:  168.9782,8.427638,261.9001,box 10,2
4.95:  168.7567,8.396124,261.9001,box 10,2
4.97:  168.4834,8.35722,261.9001,box 10,2
4.98:  168.2616,8.32565,261.9001,box 10,2
5:  168.0056,8.289225,261.9001,box 10,2
5.02:  167.738,8.251131,261.9001,box 10,2
5.03:  167.5238,8.220657,261.9001,box 10,2
5.05:  167.2706,8.18462,261.9001,box 10,2
5.07:  167.0274,8.150005,261.9001,box 10,2
5.08:  166.7788,8.114629,261.9001,box 10,2
5.1:  166.5021,8.075247,261.9001,box 10,2
5.12:  166.2821,8.043926,261.9001,box 10,2
5.13:  166.0375,8.009122,261.9001,box 10,2
5.15:  165.7872,7.973501,261.9001,box 10,2
5.17:  165.5119,7.934316,261.9001,box 10,2
5.19:  165.2661,7.899339,261.9001,box 10,2
5.2:  165.0454,7.867923,261.9001,box 10,3
5.22:  164.7723,7.829052,261.9001,box 10,3
5.23:  164.5525,7.797781,261.9001,box 10,3
5.25:  164.2755,7.758348,261.9001,box 10,3
5.27:  164.0331,7.723859,261.9001,box 10,3
5.29:  163.7789,7.687682,261.9001,box 10,3
5.3:  163.5649,7.657222,261.9001,box 10,3
5.32:  163.2861,7.617538,261.9001,box 10,3
5.34:  163.0387,7.582331,261.9001,box 10,3
5.35:  162.8009,7.548482,261.9001,box 10,3
5.37:  162.5603,7.514241,261.9001,box 10,3
5.39:  162.2957,7.476594,261.9001,box 10,3
5.4:  162.0778,7.44558,261.9001,box 10,3
5.42:  161.7973,7.405657,261.9001,box 10,3
5.43:  161.5812,7.3749,261.9001,box 10,3
5.45:  161.3318,7.339412,261.9001,box 10,3
5.47:  161.0576,7.300377,261.9001,box 10,3
5.48:  160.8276,7.267646,261.9001,box 10,3
5.5:  160.5697,7.230949,261.9001,box 10,3
5.52:  160.3429,7.198668,261.9001,box 10,3
5.54:  160.0677,7.159505,261.9001,box 10,3
5.55:  159.8215,7.124459,261.9001,box 10,3
5.57:  159.6044,7.093556,261.9001,box 10,3
5.58:  159.3568,7.058323,261.9001,box 10,3
5.6:  159.0743,7.018112,261.9001,box 10,3
5.62:  158.8566,6.987134,261.9001,box 10,3
5.63:  158.6078,6.951732,261.9001,box 10,3
5.65:  158.3646,6.91711,261.9001,box 10,3
5.67:  158.117,6.881874,261.9001,box 10,3
5.68:  157.8688,6.846556,261.9001,box 10,3
5.7:  157.6227,6.811523,261.9001,box 10,3
5.72:  157.3755,6.776346,261.9001,box 10,3
5.73:  157.1262,6.740866,261.9001,box 10,3
5.75:  156.88,6.705825,261.9001,box 10,3
5.77:  156.6034,6.666465,261.9001,box 10,3
5.78:  156.3699,6.633234,261.9001,box 10,3
5.8:  156.1375,6.600151,261.9001,box 10,3
5.82:  155.867,6.561656,261.9001,box 10,3
5.83:  155.6425,6.529702,261.9001,box 10,3
5.85:  155.3961,6.49463,261.9001,box 10,3
5.87:  155.1476,6.459262,261.9001,box 10,3
5.88:  154.8831,6.42163,261.9001,box 10,3
5.9:  154.6551,6.389171,261.9001,box 10,3
5.92:  154.4109,6.354423,261.9001,box 10,3
5.93:  154.1472,6.316898,261.9001,box 10,3
5.95:  153.8958,6.281116,261.9001,box 10,3
5.97:  153.6565,6.247055,261.9001,box 10,3
5.98:  153.4125,6.212329,261.9001,box 10,3
6:  153.1714,6.178016,261.9001,box 10,3
6.02:  152.9111,6.140964,261.9001,box 10,3
6.03:  152.6719,6.106931,261.9001,box 10,3
6.05:  152.4192,6.070965,261.9001,box 10,3
6.07:  152.1814,6.037115,261.9001,box 10,3
6.08:  151.9239,6.000474,261.9001,box 10,3
6.1:  151.6898,5.967154,261.9001,box 10,3
6.12:  151.4324,5.930518,261.9001,box 10,3
6.13:  151.1933,5.896498,261.9001,box 10,3
6.15:  150.9436,5.860958,261.9001,box 10,3
6.17:  150.6971,5.825873,261.9001,box 10,3
6.18:  150.4385,5.789073,261.9001,box 10,3
6.2:  150.1953,5.75446,261.9001,box 10,3
6.22:  149.9524,5.719893,261.9001,box 10,3
6.23:  149.7066,5.684903,261.9001,box 10,3
6.25:  149.4603,5.649848,261.9001,box 10,3
6.27:  149.2106,5.614311,261.9001,box 10,3
6.28:  148.9533,5.5777,261.9001,box 10,3
6.3:  148.7164,5.543979,261.9001,box 10,3
6.32:  148.4726,5.509285,261.9001,box 10,3
6.33:  148.2113,5.472094,261.9001,box 10,3
