ParticipantNo: 11003
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_06
!!1_dsp1_06
5.25:  168.8884,12.79668,287.0645,box 10,2
5.27:  168.6393,12.75835,287.0728,box 10,2
5.28:  168.3904,12.72121,287.0748,box 10,2
5.3:  168.1402,12.68499,287.0831,box 10,2
5.32:  167.892,12.64805,287.0914,box 10,2
5.33:  167.6423,12.6097,287.0934,box 10,2
5.35:  167.3959,12.57307,287.1017,box 10,2
5.37:  167.1483,12.53732,287.1037,box 10,2
5.39:  166.8872,12.49729,287.1057,box 10,2
5.4:  166.639,12.46147,287.1076,box 10,2
5.42:  166.3919,12.42475,287.1096,box 10,2
5.44:  166.144,12.38796,287.1179,box 10,2
5.45:  165.896,12.35224,287.1199,box 10,2
5.47:  165.6477,12.31646,287.1219,box 10,2
5.49:  165.3947,12.27778,287.1302,box 10,2
5.5:  165.1452,12.24189,287.1322,box 10,3
5.52:  164.8956,12.20603,287.1468,box 10,3
5.54:  164.6459,12.1708,287.2883,box 10,3
5.55:  164.397,12.1369,287.5627,box 10,3
5.57:  164.1467,12.10578,287.9957,box 10,3
5.59:  163.895,12.07938,288.5934,box 10,3
5.6:  163.64,12.05617,289.3813,box 10,3
5.62:  163.3863,12.03435,290.1692,box 10,3
5.64:  163.1317,12.01599,290.9571,box 10,3
5.65:  162.8846,11.99624,291.745,box 10,3
5.67:  162.6369,11.95912,292.5328,box 10,3
5.69:  162.3902,11.91329,293.3207,box 10,3
5.7:  162.1497,11.86786,294.1086,box 10,3
5.72:  161.9077,11.81804,294.8965,box 10,3
5.74:  161.6651,11.77006,295.6844,box 10,3
5.75:  161.4265,11.72087,296.4722,box 10,3
5.77:  161.1847,11.67093,297.2601,box 10,3
5.79:  160.9418,11.61876,298.048,box 10,3
5.8:  160.6983,11.56614,298.8359,box 10,3
5.82:  160.4518,11.50753,299.6237,box 10,3
5.84:  160.2144,11.44394,300.4116,box 10,3
5.85:  159.9799,11.37745,301.1995,box 10,3
5.87:  159.7431,11.30849,301.9874,box 10,3
5.89:  159.5138,11.22867,302.7753,box 10,3
5.9:  159.2867,11.14722,303.5188,box 10,3
5.92:  159.0554,11.05702,304.2179,box 10,3
5.94:  158.8276,10.96538,304.8664,box 10,3
5.95:  158.598,10.87437,305.4705,box 10,3
5.97:  158.3642,10.7829,306.0365,box 10,3
5.99:  158.1308,10.69397,306.5392,box 10,3
6.01:  157.773,10.56084,306.9911,box 10,3
6.02:  157.6632,10.52093,307.4305,box 10,3
6.04:  157.4244,10.43623,307.8698,box 10,3
6.05:  157.1898,10.35506,308.3154,box 10,3
6.07:  156.9501,10.27804,308.8054,box 10,3
6.09:  156.7105,10.2128,309.3651,box 10,3
6.1:  156.4747,10.15725,309.9882,box 10,3
6.12:  156.2356,10.11138,310.662,box 10,3
6.14:  155.989,10.07661,311.3738,box 10,3
6.15:  155.7456,10.0489,312.1046,box 10,3
6.17:  155.5058,10.02803,312.8291,box 10,3
6.18:  155.2593,10.00972,313.5536,box 10,3
6.2:  155.0084,9.994294,314.2845,box 10,3
6.22:  154.7624,9.983968,315.0153,box 10,3
6.24:  154.5168,9.976818,315.7525,box 10,3
6.25:  154.2634,9.974522,316.4833,box 10,3
6.27:  154.0192,9.978764,317.2142,box 10,3
6.29:  153.7734,9.984503,317.9514,box 10,3
6.3:  153.5267,9.993414,318.6822,box 10,3
6.32:  153.2811,10.00543,319.413,box 10,3
6.34:  153.039,10.02028,320.1248,box 10,3
6.35:  152.7904,10.03841,320.7859,box 10,3
6.37:  152.5472,10.05868,321.3773,box 10,3
6.39:  152.2998,10.0813,321.8357,box 10,3
6.4:  152.0537,10.10508,322.1355,box 10,3
6.42:  151.8093,10.12935,322.2833,box 10,3
6.44:  151.5639,10.15386,322.317,box 10,3
6.45:  151.3193,10.1783,322.3189,box 10,3
6.47:  151.0761,10.2026,322.3209,box 10,3
6.49:  150.8289,10.22732,322.3229,box 10,3
6.5:  150.5849,10.25171,322.3229,box 10,3
6.52:  150.3386,10.27634,322.3229,box 10,3
6.54:  150.094,10.3008,322.3229,box 10,3
6.55:  149.8496,10.32701,322.3229,box 10,3
6.57:  149.6007,10.35369,322.3229,box 10,3
6.59:  149.3589,10.37786,322.3229,box 10,3
6.6:  149.1122,10.40253,322.3229,box 10,3
6.62:  148.8673,10.4288,322.3229,box 10,3
6.64:  148.6207,10.45345,322.3229,box 10,3
6.65:  148.3765,10.47787,322.3229,box 10,3
6.67:  148.1304,10.49898,322.3229,box 10,3
6.69:  147.8824,10.51858,322.3229,box 10,3
6.7:  147.6288,10.53485,322.3229,box 10,3
6.72:  147.3999,10.55126,322.3229,box 10,3
6.74:  147.1505,10.56726,322.3229,box 10,3
6.75:  146.9165,10.58073,322.3229,box 10,3
6.77:  146.6686,10.59849,322.3229,box 10,3
6.78:  146.4266,10.61242,322.3229,box 10,3
6.8:  146.1823,10.62809,322.3229,box 10,3
6.82:  145.9372,10.6422,322.3229,box 10,3
6.83:  145.6896,10.65646,322.3229,box 10,3
6.85:  145.4437,10.67223,322.3229,box 10,3
6.87:  145.1977,10.68639,322.3229,box 10,4
6.88:  144.9553,10.70194,322.3229,box 10,4
6.9:  144.7097,10.71792,322.3229,box 10,4
6.92:  144.4638,10.73369,322.3229,box 10,4
6.93:  144.2171,10.74789,322.3229,box 10,4
6.95:  143.9595,10.76105,322.3229,box 10,4
6.97:  143.6995,10.77237,322.3229,box 10,4
6.99:  143.4433,10.77958,322.3229,box 10,4
7:  143.1972,10.78108,322.3229,box 10,4
7.02:  142.9585,10.78404,322.3229,box 10,4
7.04:  142.7158,10.78358,322.3229,box 10,4
7.05:  142.4744,10.78312,322.3229,box 10,4
7.07:  142.2348,10.78267,322.3229,box 10,4
7.09:  142.0101,10.78224,322.3229,box 10,4
7.1:  141.7694,10.78179,322.3229,box 10,4
7.12:  141.514,10.7813,322.3229,box 10,4
7.14:  141.2848,10.78087,322.3229,box 10,4
7.15:  141.0453,10.78042,322.3229,box 10,4
7.17:  140.8055,10.77996,322.3229,box 10,4
7.19:  140.5618,10.7795,322.3229,box 10,4
7.2:  140.321,10.77904,322.3229,box 10,4
7.22:  140.079,10.77859,322.3229,box 10,4
7.24:  139.838,10.77813,322.3229,box 10,4
7.25:  139.5988,10.77768,322.3229,box 10,4
7.27:  139.3569,10.77722,322.3229,box 10,4
7.29:  139.102,10.78278,322.3229,box 10,4
7.3:  138.8647,10.7913,322.3229,box 10,4
7.32:  138.619,10.80385,322.3229,box 10,4
7.34:  138.3682,10.81666,322.3229,box 10,4
7.35:  138.1308,10.82879,322.3229,box 10,4
7.37:  137.8918,10.841,322.3229,box 10,4
7.38:  137.6429,10.85371,322.3229,box 10,4
7.4:  137.394,10.86642,322.3229,box 10,4
7.42:  137.1399,10.8794,322.3229,box 10,4
7.44:  136.8778,10.89279,322.3229,box 10,4
7.45:  136.6333,10.90528,322.3229,box 10,4
7.47:  136.3832,10.91806,322.3229,box 10,4
7.49:  136.1349,10.93074,322.3229,box 10,4
7.5:  135.8861,10.94345,322.3229,box 10,4
7.52:  135.6368,10.95618,322.3229,box 10,4
7.54:  135.3814,10.97113,322.3229,box 10,4
7.55:  135.1424,10.99003,322.3229,box 10,4
7.57:  134.8954,11.01303,322.3229,box 10,4
7.59:  134.6512,11.05144,322.3229,box 10,4
7.6:  134.4101,11.10336,322.3229,box 10,4
7.62:  134.1728,11.16184,322.3229,box 10,4
7.64:  133.934,11.22581,322.3229,box 10,4
7.65:  133.7057,11.29039,322.3229,box 10,4
7.67:  133.4772,11.36187,322.3229,box 10,4
7.68:  133.2344,11.44084,322.3229,box 10,4
7.7:  132.9995,11.51933,322.3229,box 10,4
7.72:  132.7611,11.60044,322.3229,box 10,4
7.73:  132.5208,11.68217,322.3209,box 10,4
7.75:  132.2811,11.76497,322.2872,box 10,4
7.77:  132.0402,11.8536,322.2092,box 10,4
7.78:  131.8047,11.9455,322.0868,box 10,4
7.8:  131.5683,12.03908,321.8947,box 10,4
7.82:  131.3309,12.13176,321.6202,box 10,4
7.83:  131.0935,12.22267,321.2506,box 10,4
7.85:  130.8358,12.31899,320.7923,box 10,4
7.87:  130.5988,12.40506,320.2516,box 10,4
7.89:  130.3595,12.4892,319.6665,box 10,4
7.9:  130.1499,12.56038,319.0561,box 10,4
7.92:  129.9117,12.6383,318.414,box 10,4
7.93:  129.6714,12.71383,317.7465,box 10,4
7.95:  129.4259,12.78784,317.0728,box 10,4
7.97:  129.1838,12.85995,316.3989,box 10,4
7.98:  128.9414,12.93354,315.7252,box 10,4
8:  128.7033,13.01084,315.0513,box 10,4
8.02:  128.4681,13.08525,314.3775,box 10,4
8.03:  128.23,13.16107,313.7291,box 10,4
8.05:  127.9846,13.23802,313.2264,box 10,4
8.07:  127.7452,13.31419,312.9709,box 10,4
8.08:  127.5037,13.39181,312.8992,box 10,4
8.1:  127.2552,13.47151,312.8656,box 10,4
8.12:  127.0122,13.54927,312.8319,box 10,4
8.13:  126.7695,13.62789,312.7982,box 10,4
8.15:  126.5248,13.707,312.7709,box 10,4
8.17:  126.2813,13.7856,312.7372,box 10,4
8.19:  126.0373,13.86311,312.7099,box 10,4
8.2:  125.7999,13.93286,312.6826,box 10,4
8.22:  125.5483,13.98017,312.6552,box 10,4
8.23:  125.3042,14.01648,312.6216,box 10,4
8.25:  125.0594,14.04589,312.5879,box 10,5
8.27:  124.817,14.06808,312.5542,box 10,5
8.28:  124.5694,14.08866,312.5269,box 10,5
