ParticipantNo: 11007
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_14
!!1_dsp1_14
3.33:  32.2,31.9,53.30001,box 9,9
3.35:  32.2,31.9,46.50001,box 9,9
3.37:  32.2,31.9,36.20001,box 9,9
3.38:  32.2,31.9,30.00002,box 9,9
3.4:  32.2,31.9,25.50002,box 9,9
3.42:  32.2,31.9,22.70001,box 9,9
3.43:  32.2,31.9,21.60001,box 9,9
3.45:  32.2,31.9,21.60001,box 9,9
3.47:  32.2,31.9,21.60001,box 9,9
3.48:  32.2,31.9,21.60001,box 9,9
3.5:  32.2,31.9,21.60001,box 9,9
3.52:  32.2,31.9,21.60001,box 9,9
3.53:  32.2,31.9,21.60001,box 9,9
3.55:  32.2,31.9,21.60001,box 9,9
3.57:  32.2,31.9,21.60001,box 9,9
3.58:  32.21168,31.89537,21.60001,box 9,9
3.6:  32.23489,31.88618,21.60001,box 9,9
3.62:  32.26992,31.87231,21.60001,box 9,9
3.63:  32.31679,31.85376,21.60001,box 9,9
3.65:  32.38527,31.82665,21.60001,box 9,9
3.67:  32.44389,31.80343,21.60001,box 9,9
3.68:  32.53111,31.7827,21.60001,box 9,9
3.7:  32.65198,31.76842,21.60001,box 9,9
3.72:  32.75162,31.76298,21.60001,box 9,9
3.74:  32.90995,31.76486,21.60001,box 9,9
3.75:  33.03795,31.7713,21.60001,box 9,9
3.77:  33.20444,31.78582,21.60001,box 9,9
3.78:  33.39101,31.80822,21.50002,box 9,9
3.8:  33.58833,31.8376,21.30001,box 9,9
3.82:  33.80406,31.87598,20.90001,box 9,9
3.83:  34.03598,31.92328,20.50001,box 9,9
3.85:  34.28062,31.9794,20.00002,box 9,9
3.87:  34.54376,32.04601,19.50002,box 9,9
3.88:  34.8225,32.12172,19.20002,box 9,9
3.9:  35.11586,32.20538,19.10002,box 9,9
3.92:  35.46162,32.31895,19.00002,box 9,9
3.93:  35.71615,32.41003,19.00002,box 9,9
3.95:  36.02257,32.53009,19.00002,box 9,9
3.97:  36.33487,32.6635,18.90002,box 9,9
3.99:  36.69513,32.83067,18.90002,box 9,9
4:  36.95635,32.95862,18.90002,box 9,9
4.02:  37.27864,33.11791,18.70002,box 9,9
4.03:  37.59187,33.27544,18.30002,box 9,9
4.05:  37.90912,33.43779,17.90001,box 9,9
4.07:  38.2217,33.6012,17.40001,box 9,9
4.08:  38.53118,33.76784,16.70001,box 9,9
4.1:  38.88967,33.96574,16.10001,box 9,9
4.12:  39.15033,34.11381,15.40001,box 9,9
4.14:  39.50367,34.32445,14.20002,box 9,9
4.15:  39.75682,34.47776,13.80001,box 9,9
4.17:  40.10839,34.69574,13.20002,box 9,9
4.19:  40.40236,34.87801,13.20002,box 9,9
4.2:  40.65865,35.03691,13.20002,box 9,9
4.22:  40.96073,35.22421,13.20002,box 9,9
4.23:  41.25552,35.40699,13.20002,box 9,9
4.25:  41.55733,35.59412,13.20002,box 9,9
4.27:  41.85894,35.78113,13.20002,box 9,9
4.28:  42.16237,35.96926,13.20002,box 9,9
4.3:  42.46289,36.15559,13.20002,box 9,8
4.32:  42.7618,36.34092,13.20002,box 9,8
4.34:  43.10542,36.55398,13.20002,box 9,8
4.35:  43.40517,36.73983,13.20002,box 9,8
4.37:  43.67254,36.90561,13.20002,box 9,8
4.38:  43.96353,37.08603,13.20002,box 9,8
4.4:  44.25103,37.27463,13.20002,box 9,8
4.42:  44.52947,37.4683,13.20002,box 9,8
4.43:  44.78918,37.6599,13.20002,box 9,8
4.45:  45.04461,37.86052,13.20002,box 9,8
4.47:  45.28386,38.06079,13.20002,box 9,8
4.48:  45.51089,38.26384,13.20002,box 9,8
4.5:  45.72426,38.46816,13.20002,box 9,8
4.52:  45.92727,38.67702,13.20002,box 9,8
4.53:  46.1187,38.88941,13.20002,box 9,8
4.55:  46.31177,39.12288,13.20002,box 9,8
4.57:  46.48996,39.35985,13.10002,box 9,8
4.59:  46.63978,39.58014,12.80002,box 9,8
4.6:  46.7579,39.77151,12.40002,box 9,8
4.62:  46.90162,40.03771,12.10002,box 9,8
4.63:  46.9964,40.23272,11.90002,box 9,8
4.65:  47.10889,40.50326,11.70002,box 9,8
4.67:  47.18261,40.70576,11.50002,box 8,8
4.69:  47.26377,40.97779,11.30002,box 8,8
4.7:  47.32538,41.23685,11.10002,box 8,8
4.72:  47.36282,41.4288,11.00002,box 8,8
4.74:  47.4178,41.717,10.80002,box 8,8
4.75:  47.45645,41.91958,10.80002,box 8,8
4.77:  47.51043,42.21082,10.50002,box 8,8
4.79:  47.55423,42.45185,10.30002,box 8,8
4.8:  47.59252,42.66465,10.20002,box 8,8
4.82:  47.64325,42.94946,10.10001,box 8,8
4.83:  47.67832,43.14837,10.00002,box 8,8
4.85:  47.72873,43.44022,9.800016,box 8,8
4.87:  47.76367,43.64461,9.700014,box 8,8
4.88:  47.80486,43.89073,9.500014,box 8,8
4.9:  47.84578,44.14064,9.300014,box 8,8
4.92:  47.88516,44.38649,9.100014,box 8,8
4.93:  47.92331,44.63295,8.800014,box 8,8
4.95:  47.9594,44.87737,8.400014,box 8,8
4.97:  47.99441,45.12645,8.000013,box 8,8
4.99:  48.0316,45.41679,7.300014,box 8,8
5:  48.05658,45.62625,6.800014,box 8,8
5.02:  48.09765,45.87279,6.600014,box 8,8
5.03:  48.14946,46.11513,6.400013,box 8,8
5.05:  48.21278,46.35862,6.100013,box 8,8
5.07:  48.28928,46.60581,5.900013,box 8,8
5.08:  48.37562,46.84923,5.500013,box 8,8
5.1:  48.47172,47.08871,5.200013,box 8,8
5.12:  48.5797,47.3306,4.800013,box 8,8
5.13:  48.69825,47.57387,4.200013,box 8,8
5.15:  48.82574,47.81757,3.400013,box 8,8
5.17:  48.95972,48.05901,2.500013,box 8,8
5.18:  49.10265,48.30865,1.000013,box 8,8
5.2:  49.27867,48.59626,0.2000131,box 8,8
5.22:  49.41475,48.80975,359.5,box 8,8
5.24:  49.61221,49.1007,358.9,box 8,8
5.25:  49.76516,49.31633,358.5,box 8,8
5.27:  49.95695,49.57235,358.2,box 8,8
5.28:  50.16316,49.83284,358,box 8,8
5.3:  50.37853,50.09143,357.8,box 8,8
5.32:  50.60437,50.34831,357.8,box 8,8
5.33:  50.8227,50.61178,357.7,box 8,8
5.35:  51.01814,50.86214,357.6,box 8,8
5.37:  51.20877,51.12301,357.5,box 8,8
5.38:  51.38628,51.38271,357.5,box 8,8
5.4:  51.54877,51.63786,357.5,box 8,8
5.42:  51.69988,51.89409,357.5,box 8,8
5.43:  51.83784,52.14834,357.5,box 8,8
5.45:  51.98255,52.44534,357.5,box 8,8
5.47:  52.08004,52.66492,357.4,box 8,8
5.48:  52.1805,52.91993,357.3,box 8,8
5.5:  52.26729,53.17037,357.3,box 8,8
